source,target,frequency
{' R I L E S '},{'CellSation Deppford Wife Wald Mignon'},1
{'2021 Canadas reckoning'},{' '},1
{'Kristen'},"{'leah bennett', 'Belinda '}",2
{'Samielle'},{'good will'},1
{'RegencyEmma'},{'leah bennett'},1
{'Jen pitbullmum4 '},{'inchhighpi'},1
{'VANDMAN'},{'leah bennett'},1
{'Cindy'},{'Nadine '},1
{'Caz Mc'},{'Stephanie Brown'},1
{'Angie Ginez '},{'Stephanie Brown'},1
{' Annalee Perez '},{'Stephanie Brown'},1
{'tha s '},"{'Jo', 'BeCurious', 'sharon', 'The Phantom of the Opera'}",4
{'FerociousBeautyCosmetics'},"{'Fluffy Bunny Feet', 'LucidXtreme'}",2
{'crystal '},{'ThatGuy '},1
{'Victoria Strachan '},{'Pomta '},1
{'Carly '},{'Wholelottacreativity'},1
{'Scryndi SouthFloridaThrifter'},{'Ganpanchiro Kamaboko '},1
{'M lissa vamos pour le doubl '},{'Evidence Matters'},1
{'kat '},{'Belinda '},1
{'TIMMAY '},{'Nicotine Addict'},1
{'Rozanna van der Veen '},{'good will'},1
{'leti as augustine from folklore '},"{'Cindy Le n', 'Graciela Calle Q '}",2
{'Cearuilin Maire MacFhlannchaidh'},"{'Johnny Depp BR ', ' V d JusticeForJohnnyDepp '}",2
{'LEE'},{' V d JusticeForJohnnyDepp '},1
{'Sam Claire Williams'},{'Jeon Ji hye'},1
{'uhhhh'},{'Jeon Ji hye'},1
{'Susieque93'},{'Nor33 '},1
{'Jesse Tomi'},{'Annie Angel '},1
{'Super Girl '},{'ForDaMik JohnnyDeppIsInnocent Justice'},1
{'Universo DC'},"{'Kris ', ' ', 'Gabi', ' Daisy ', 'Rae', 'Teri Carson ', 'Braendie '}",7
{'Man Without Fear '},{'inchhighpi'},1
{'Miguel '},"{'Libby JusticeForJohnnyDepp', 'Mellie '}",2
{'Jamie'},{'Liz '},1
{'Lore Pont n'},{'res ipsa loquitur savvy '},1
{'Lu'},{'sheila'},1
{'N Antonio '},{'Linda Lou '},1
{' '},{'Ivana Escalera'},1
{'Pam K '},"{'irishka kveliashvili', 'Kountry Waldmignon '}",2
{'BLM except Sasha Johnson s Taiwan is a country'},{' '},1
{'BellaItaliaGyrl'},{'Belinda '},1
{' abzisbreathtaking '},{'yudith'},1
{' jpsciencies0207 sntlDlW st '},{'Jeon Ji hye'},1
{'JD '},{'Dr Nu Nu Minamata'},1
{'Dycozen '},"{' classicpaws ', 'Mea parvitas KeepJohnnyDeppAfloat'}",2
{'Joaquin Ocampo'},{'Jeon Ji hye'},1
{'rach'},{'Ra l S JusticeForJohnnyDepp'},1
{'Learn To Evolve'},{'KimmhyDepp '},1
{'J '},{'akr'},1
{'J L White'},{'FC'},1
{'stainless bibidaddy '},{'Teri Carson '},1
{'Ashe L Grey'},{'C Turtle'},1
{'AList'},{' Om Dr mm '},1
{'angela'},{'Johnny s Angel '},1
{'Dakshika '},{'DeniseRN'},1
{'Charlie Skoringo'},{'Stacey Skirving '},1
{'Echo noir'},{'Lworlds'},1
{'Just Rach'},"{'Teri Carson ', 'Learn To Evolve'}",2
{' plushie hugs '},"{'JD s Supporters Survey ', 'FC'}",2
{'Kryp2o'},{'Movement We Are Not Robots Latin America '},1
{'Secretariat'},{'Vomito Verbal NoAlPaseSanitario'},1
{'Rubik'},{'Cheryl Drake '},1
{'Mary Alexander'},{'Sam Cooke '},1
{'Noblesse Oblige '},{'Sam Cooke '},1
{'AKINLOLU '},{'Tongo Bozzie '},1
{'Bourbon Meyer'},{'Violetsvision justiceforjohnnydepp'},1
{''},{'Liz '},1
{'Metehan '},{'brittney of oldstones'},1
{'Cris'},{'Patcar'},1
{'Link Tyler Rose'},{'Nor33 '},1
{'whit '},{'Mrs John Christopher Depp II'},1
{'Kelly'},{' uci '},1
{'Jorel Navarro'},{'Sam Cooke '},1
{'FairyNaa '},{'Teri Carson '},1
{' '},{'Vaielena'},1
{'SEXlobbyistIN'},{'Cheryl Drake '},1
{'Kerry Neill'},{'johnny thebest depp'},1
{'RenAki'},{' MSW '},1
{'Keegan World at War is the best COD'},{'johnny thebest depp'},1
{'Ibai Rolando '},{'johnny thebest depp'},1
{'George Utuk III'},{'Mr X'},1
{' '},{' Om Dr mm '},1
{'justice for johnny depp '},"{'bassgodess', ' Kerryanne E Wald Mignon ', 'blackrainbowsxo', 'L T'}",4
{'Mary Bolden'},{'Movement We Are Not Robots Latin America '},1
{'S K Y '},{'Linda Lou '},1
{'Maria Aguirre Marsico'},{'inchhighpi'},1
{'gabriela '},{'Jeon Ji hye'},1
{'El Prieto '},{'Mrs John Christopher Depp II'},1
{'Sarah '},{'C URTNEY '},1
{' '},{'JD '},1
{'Julia'},{'Jen pitbullmum4 '},1
{'M nik M'},{'Life s a bitch Now so am I '},1
{'That s gotta be Kaye ne '},{'Stephanie Brown'},1
{'Dead Darling'},{'Scryndi SouthFloridaThrifter'},1
{'Silence DoGood'},{'Ewinters Wald Mignon'},1
{' Let it go '},{'Guilherme Leirosa'},1
{'Dar o Ruiz'},{'Tarry '},1
{'Wulan Mustika Taylor s Version '},{'Marlene Aros'},1
{'Claire'},{' '},1
{'Patr cia Miranda '},{' '},1
{'samantha anne duncan'},{'jd hide'},1
{'Aya '},{'Bazarette74'},1
{'Emma '},{'Tilda B '},1
{'Guillermo Cervantes'},"{' rhiane ', 'Penny '}",2
{'adam anna milton stan acc '},{'blackrainbowsxo'},1
{'amanda wynn'},{'Joanna Woodley'},1
{' OrionChaos '},{'inchhighpi'},1
{'Scroll Comment Mute Repeat'},{' uci '},1
{'elena leonardoDiCaprio'},{'Cat '},1
{'Joe'},{'disdicevole'},1
{' '},{'SummerB'},1
{'Golden Gate Jedi '},{'jane'},1
{'The Honorable President Mike Anderson '},{'Susan'},1
{' '},{'BeCurious'},1
{' '},{'RobinVista'},1
{' '},"{'senator dani wald mignon ', 'TanHar'}",2
{'Chef'},"{'Emily', 'Johnny Supporter 1043'}",2
{'Insta Jaheliss Drunk Cook '},{'Robin Wald Mignon I support THE TRUTH '},1
{'Jemima Williams'},{'Jeon Ji hye'},1
{'Cyndi Wheeler'},{'Tilda B '},1
{'still crying because of TheRedSleeve'},"{'Jamile Araujo Martinski', 'HumanPhoenix', 'ker', 'MenCourage Philippines'}",4
{'Jel '},"{'Taylor Webb', 'Stephanie Brown'}",2
{'Surendra Chaudhary'},{' Kikka '},1
{'Julien Moreau Roy'},{'Andros Sant'},1
{'Dawn'},"{'Kaylee Manning', 'Teri Carson '}",2
{'Ruthless'},{'BecNotTheBot '},1
{'Lynn Miller'},{'the AMAZING cynthia '},1
{'Selman P ge'},{' '},1
{'Amanda Kennedy'},{'James Shala'},1
{'George Marcus'},{' is off '},1
{'Xudus'},"{' V d JusticeForJohnnyDepp ', 'peach barbossa '}",2
{'Hugo Alyn Stephens ZSJL Associate Producer '},{'TRUTH ABOVE ALL ELSE Robbie '},1
{'Chris Salts '},{'Belinda '},1
{'Kim Mia'},{'Belinda '},1
{'Steph '},{'Cheryl Drake '},1
{'Lesley '},"{'RideOrDis', 'Johnny s Angel '}",2
{'kerry hughes'},{'aria two'},1
{' '},{'Robin Wald Mignon I support THE TRUTH '},1
{'Karen Rough'},{'SummerB'},1
{'H id '},"{'Bianca A ', 'Cinnamon Wifey'}",2
{'Jos Daniel'},{'FC'},1
{'Joey'},{'Mellie '},1
{'ALT '},{'Meghan Sim'},1
{'Ann Silvers'},"{'inchhighpi', 'CJ', 'NinaRoxx8825'}",3
{'S rr indi'},{'Jamile Araujo Martinski'},1
{'Phillip Mweemba Agent 47'},{'powpowpunch'},1
{'S '},"{' ', 'Gabi', 'vkook aye'}",3
{'Martina Snape '},{'SummerB'},1
{'Hand of the Queen'},{'Kerri McCoy'},1
{'Karla'},{'MenCourage Philippines'},1
{'Locs of Unicorns '},"{'Danielle', 'Frances1985 ', 'powpowpunch'}",3
{'Samji'},{' '},1
{'A Z U R E '},{'LL'},1
{'TerryEllahElsa'},"{'Kerri McCoy', 'Vaielena'}",2
{'Jos Arnedo'},{'Kountry Waldmignon '},1
{'The Forever Notorious K A P '},{'rds AlJacob'},1
{'Paul Nocha'},{'Alejandra '},1
{'Ellie Waldman'},{'Tongo Bozzie '},1
{'Sharon'},{'JulieeAnnaBanana'},1
{'Ana'},{'Arghavan'},1
{' JusticeForJohnnyDepp'},{'Bazarette74'},1
{'Mel '},{'Danielle'},1
{'Nani '},{'Morgan Addams Teague'},1
{'Haute Bebe'},{'trayray nightmare'},1
{'Pia Cordova Sotelo'},{'Eloisa'},1
{'Not a Bot but a Crazy Cute Duckie'},{'Alejandra '},1
{'Antonella '},{'Liza'},1
{' '},{'Mrs John Christopher Depp II'},1
{'Sean B '},{'Kountry Waldmignon '},1
{'Eric Wixson'},{'julia depp '},1
{'krishna'},"{'Valeria ', 'p60p45'}",2
{'Debs'},{'sandy '},1
{'Jeff '},{'Horae of Peace'},1
{'Vumbios 3e '},"{'JennLKirch', 'Melissa '}",2
{'Gaby Reyes'},{'Iris IT '},1
{'pro simp casper they she '},"{'Elizabeth Prior Walter Supremacy', ' R a V e N ', 'nickel'}",3
{'Sam'},{'raha'},1
{'Mellanie Brando'},"{'rds AlJacob', 'SummerB', 'penny'}",3
{'evelyn'},{'trayray nightmare'},1
{'White Wolf '},{' is off '},1
{'Marussia00157 '},"{' is off ', 'Anna Giulia Depp Waldman'}",2
{'JaySpartan'},{'Lisa '},1
{'Matt '},{'TheMadRatter Gwennafran '},1
{'Solomon'},"{'Elaina', ' ', 'Frances1985 ', 'Lisa Salustri', 'Darya', 'Dr Jayne B Waldmingon PHD ', 'JulieeAnnaBanana', 'Lacrimosa', 'Keeley Young ', 'Jamile Araujo Martinski'}",10
{'Swisss Misss'},{'TheRealLauraB '},1
{'Alessa '},{'Tongo Bozzie '},1
{'Ewinters Wald Mignon'},"{'pau ness', 'Johnny Depp AR ', 'Elizabeth Quiroz'}",3
{'Katie I Stand With Johnny Depp '},"{' is off ', 'Stephanie Brown'}",2
{'Lisa Hurst'},"{'Linda Lou ', 'Underblank '}",2
{'lolita'},{'Underblank '},1
{' '},{'M nik M'},1
{'Claudia Huffman'},"{'Alejandra ', 'Pam Love '}",2
{'Harley'},"{' is off ', 'Rebeca JusticeForJohnnyDepp '}",2
{'k g'},{'Rebecca Thompson'},1
{'Curt Gaskins'},"{'JF Holland Author', 'Pussygalore'}",2
{'Lina PRO'},{'Toni '},1
{'Borris'},{'Pam Love '},1
{'bulletproof warriors'},"{'Correctacon ', 'Mrs John Christopher Depp II'}",2
{'Sw33t Rosa'},"{'Rachel', 'Bettie Jane Mills IBelieveJohnnyDepp'}",2
{'Angela Moreno'},{'Tilda B '},1
{'Lani'},{'Camilo supremacy '},1
{'Baron Young '},{'M nik M'},1
{' johnnydeppisinnocent'},{'TheMadRatter Gwennafran '},1
{'STEEVE '},{'Johnny Depp Forever '},1
{'Bube '},{'anita '},1
{'TONE FIBER '},"{'Lisa ', 'Areeba Ather Khan'}",2
{'Shafina ifia '},"{'international playgirl', 'Kelly Smahlt'}",2
{'Smugseid97'},{'M nik M'},1
{'Mayank Patel'},"{'sheila', 'M nik M'}",2
{'Terisa '},{'Dee'},1
{'I'},{'Liono Grinch'},1
{'Ayna JusticeForJohnnyDepp'},"{' Martpunchispunchis', 'Belinda ', 'danijela', 'Paula ', 'donotfallintothetrap', ' ', 'Braendie '}",7
{'Sam'},"{'', ' '}",2
{''},"{'James Shala', 'Belinda '}",2
{'GemStoner'},{' '},1
{' ej '},{' '},1
{'Calamity'},{'ByeByeSuccubus'},1
{'Laura Purcell'},"{'Paula ', ' V d JusticeForJohnnyDepp '}",2
{'Se n Hine'},"{' ', 'Belinda '}",2
{'Gianco M rquez'},"{' ', 'Libby JusticeForJohnnyDepp'}",2
{'For Cakes Sake '},"{'Victoria Breakwell Wald Mignon ', ' ', ' Thistle ', 'Shulyna'}",4
{'Ryan Moore'},{' '},1
{'Delilah'},"{'Victoria Breakwell Wald Mignon ', ' ', 'vkook aye'}",3
{'calm down esmaralda '},{'lyn'},1
{'Cabanillas '},{'Belinda '},1
{'meh'},{'Belinda '},1
{'Johnny Depp Chile'},{'RT a mi tweet fijado'},1
{'Brandon Fern'},{'sheila'},1
{'Political Sass'},{'Belinda '},1
{'Korina Kazala'},"{' SEC On A Break', 'Fleeee'}",2
{'B D '},"{'Victoria Breakwell Wald Mignon ', 'inchhighpi', 'Aishacat '}",3
{'BeyondAllEvil '},{'Mael'},1
{'Kev '},"{'ForDaMik JohnnyDeppIsInnocent Justice', 'Camilo supremacy '}",2
{'Andrea Corna '},{'ForDaMik JohnnyDeppIsInnocent Justice'},1
{'Jean '},{'inchhighpi'},1
{'Siyintax'},{'inchhighpi'},1
{'Marichu '},{'Mea parvitas KeepJohnnyDeppAfloat'},1
{'bihvye'},{'MadMaria Wald mignon'},1
{' '},{'p60p45'},1
{'No One '},{'TheMadRatter Gwennafran '},1
{' '},{'Teri Carson '},1
{'BeyBey'},{'Teri Carson '},1
{''},{'Teri Carson '},1
{'izabella '},"{' ', 'bella ', 'elisa ', 'Sirnollia Beasley ', ' SEC On A Break', 'Teri Carson ', 'Kilpikonnanyst v '}",7
{'Jessica Connell'},{'hollieward01'},1
{' Geekista '},{'Kelly Smahlt'},1
{'monica'},{'Rebecca Mew JusticeForJohnnyDepp Justice4JenHowell'},1
{'Mark'},{'The Gay Swami'},1
{'medeia '},{'Vaielena'},1
{'Your nightmare'},{'raha'},1
{'E'},{'Dee'},1
{' '},"{' KathsPaperwork ', 'Kris ', 'Juliette '}",3
{'whoami'},"{' ', 'Kelly Smahlt'}",2
{'spYdawoman'},{'bekindandfullyvaccinated'},1
{'SF Universe'},{'Kris '},1
{'Misu Mignonne '},"{'RoyaltiD DeppWarriors', 'Evidence Matters', 'haley ', 'Susan'}",4
{'Sol ne'},{'SweetChastity'},1
{'Jo lle '},"{'Juliette ', 'TheMadRatter Gwennafran ', 'anita '}",3
{'castro '},{'Keeley Young '},1
{'Marie'},{'Tilda B '},1
{'Jojo '},{' Kerryanne E Wald Mignon '},1
{'Strawberry sunshine94'},{'tracey powell'},1
{'Hughy'},"{'Kaylee Manning', 'Kerri McCoy', 'FMGiveMeTruth '}",3
{'Vijaya'},{'Juliette '},1
{'Nicholas'},{' Laura'},1
{'SmAshley '},{' is off '},1
{'Vicky '},{'Teri Carson '},1
{'Mrs B'},{'Kris '},1
{'Lauren McKenzie'},"{'Nor33 ', 'Kris ', 'Nova Wald Mignon', 'Amelia Bujar', 'jackie findlay', 'penny'}",6
{'A A'},{'Bazarette74'},1
{' '},{'Kilpikonnanyst v '},1
{'Dominique Quillian'},{'ThatGuy '},1
{'Yeetus'},"{'inchhighpi', 'Horae of Peace', 'sheila'}",3
{' U L T I M E C I A '},{'Linda Lou '},1
{'Ash'},"{'Mellie ', 'Violetta', 'Sweetest Sands ustice or ohnny epp ', ' ', 'RoxyPily'}",5
{'LIEf'},{'SummerB'},1
{' K i r s t i '},{'RoyaltiD DeppWarriors'},1
{'Wuhan Will '},"{' Kerryanne E Wald Mignon ', 'SummerB', 'Alana'}",3
{'Alisha Warrior '},{'j '},1
{'Will You Be There'},{'Johnny Supporter 1043'},1
{'Nanosyl'},"{' Kerryanne E Wald Mignon ', 'Nor33 '}",2
{'Josh Janney'},"{'HoneyHani', 'bekindandfullyvaccinated'}",2
{'Joel Stoner'},{'Cheryl Drake '},1
{'Aang The Avatar '},{' Kerryanne E Wald Mignon '},1
{'Marina'},{'Jamile Araujo Martinski'},1
{'A'},"{'ForDaMik JohnnyDeppIsInnocent Justice', 'powpowpunch'}",2
{'Aless Onye Nwa'},{'Cheryl Drake '},1
{'Nik Long'},{' Kerryanne E Wald Mignon '},1
{'SimonBarreBrisebois'},"{'ILoveURobertDowneyJr', ' Laura', 'JUSTICE SEEKER', 'Susan'}",4
{'heroina do lixo'},"{'Murmeltier ', 'Scarlet Waldman'}",2
{'The Thinking Ape'},{'Patcar'},1
{'Ramon'},{'RoyaltiD DeppWarriors'},1
{'jbird1812012'},"{'RoyaltiD DeppWarriors', 'Period Drama Movie Fan'}",2
{'tori louise'},{'Kris '},1
{'Mala Bruja '},{' Kerryanne E Wald Mignon '},1
{'DC Comics Gamer'},{'dipav'},1
{'Cozy'},{'Juliette '},1
{'Elizabeth Zryd'},"{'RoyaltiD DeppWarriors', 'YouGottaBeKiddingMe2121'}",2
{'Cashmerexo'},{' '},1
{'mila'},{'Liza'},1
{'Sarai'},{'ForDaMik JohnnyDeppIsInnocent Justice'},1
{'Leona Elise Asio'},"{'SummerB', 'TheLadyAutist', 'powpowpunch', 'Alejandra ', ' JusticeForJohnnyDepp', 'Mrs John Christopher Depp II', 'Susan', ' Mindy King '}",8
{'bruna'},{'p60p45'},1
{'britney is free'},"{'Annpanwoman BTS HAG', 'SummerB', 'powpowpunch'}",3
{'Armando'},{'Aamina'},1
{'moon watching cobra kai'},"{'Zuckerwaffe ', 'Belinda ', 'Sweetest Sands ustice or ohnny epp ', 'Frances1985 ', 'Kelly Smahlt', 'Tilda B ', 'bekindandfullyvaccinated', 'Pussygalore', 'HoneyHani', 'Mrs John Christopher Depp II', 'FC', ' Mindy King '}",12
{'ILoveURobertDowneyJr'},{'inchhighpi'},1
{'Juan David Rojas'},{'p60p45'},1
{' '},"{'Alejandra ', 'honeydepp ', 'Celtic Iron', 'nickel'}",4
{'Altcoin Daliy '},"{' Kerryanne E Wald Mignon ', ' '}",2
{'Bedisky'},{'Kris '},1
{'Sujude Wahdan'},{' '},1
{'Mark Watts'},"{' Kerryanne E Wald Mignon ', 'Mel '}",2
{'riss'},{'blahbydodaday'},1
{'paige '},{'TheRealLauraB '},1
{' chnyn '},"{'Morgane', 'Pam Love ', 'Evening Rose 309', ' Kerryanne E Wald Mignon ', 'Rana Metwally', 'Bianca A ', 'Dr Jayne B Waldmingon PHD ', 'Vera Uzhik', 'Blue Gansey is kind of on a break', 'Elisa Day', 'shota', 'Georgia ', 'Libby JusticeForJohnnyDepp'}",13
{'Erick '},"{'Alejandra ', 'MadMaria Wald mignon', 'Melissa ', 'Lelecat Pirate Vampire', 'j '}",5
{'ABD2012'},"{'seedoftruth ', 'Alejandra ', 'Julie JusticeForJohnnyDepp ', 'The Phantom of the Opera', ' Katie Waldman Depphead', 'bertboz', ' Sugarplum Fairy ', 'Naab', 'TheRealLauraB '}",9
{' Vale '},"{'Nova Wald Mignon', 'Kelly Smahlt', 'MadMaria Wald mignon', 'Pamela McCafferty', ' rhiane '}",5
{'Jessica Warren'},{'Belinda '},1
{'Malson'},{'Millie '},1
{'Jamie Shipston'},"{'Victoria Breakwell Wald Mignon ', 'Jo'}",2
{'Gavin Drasin'},"{'MissChanandalerBong', 'windali', 'Suellen S DEPPHEAD', 'Stephanie Brown', ' Laura', 'M ', 'Mandee ', 'justruth', 'HoneyHani', 'Mrs John Christopher Depp II', 'Cheryl Drake ', 'Susan', ' MSW ', 'Fe Nunes', 'Gwen Mercury', 'Arwen sparrow', ' JusticeForJohnnyDepp', 'Teri Carson ', 'DeppFanPage '}",19
{' ck4 spoilers'},{'SweetChastity'},1
{'Diego'},{' Kerryanne E Wald Mignon '},1
{'The Raven'},{'rds AlJacob'},1
{'Adri n Rojas'},"{'HoneyHani', 'Murmeltier '}",2
{'charlie long'},{'Teri Carson '},1
{'JusticeForDepp'},{' Kerryanne E Wald Mignon '},1
{'Fuck Cancel Culture'},{'Sally Star'},1
{'Jerrie Depp'},{'Annpanwoman BTS HAG'},1
{'turtles'},{'inchhighpi'},1
{'Lazaro on Cam '},{' Kerryanne E Wald Mignon '},1
{'MissMuffin'},{'Teri Carson '},1
{'Wabula I hate Men '},{'Jo'},1
{'Mary Skellington'},{'Teri Carson '},1
{'The Ajoke '},{'The Twisted Samurai'},1
{'Jared'},"{'SweetChastity', 'Nova Wald Mignon', 'Mrs John Christopher Depp II', ' Kerryanne E Wald Mignon ', 'windali', 'bree taylor s version ', 'Jo', 'Fe Nunes', 'Zel DeCasa ', 'Mael', 'Sammy'}",11
{'LuigiDurdn'},{'Tongo Bozzie '},1
{' '},"{'Danie ', 'Go with the flow', ' Kerryanne E Wald Mignon ', ' Laura', 'Kelly Smahlt', 'JusticeForJohnny', 'Pamela McCafferty', 'Elisa Day', 'Keeley Young ', 'Mrs John Christopher Depp II', 'Susan'}",11
{'Wendy '},"{' Kerryanne E Wald Mignon ', 'Reckless', 'j ', 'Mael'}",4
{' Monke Man Free Palestine '},"{' Kerryanne E Wald Mignon ', 'Tilda B '}",2
{'JF Holland Author'},{'Aurora FFP2'},1
{'Dawn'},{'Kelly Smahlt'},1
{'Cadisha'},{'Nicole Marie'},1
{'GrushenkaH'},{' Kerryanne E Wald Mignon '},1
{'Mothman'},{'Liono Grinch'},1
{'Retrieval Cloud'},"{'Sally Star', 'Mrs John Christopher Depp II', 'windali'}",3
{' Miera '},"{' Kerryanne E Wald Mignon ', 'YouGottaBeKiddingMe2121'}",2
{'Wicked D Mage'},{'Cheryl Drake '},1
{'Who'},"{' Kerryanne E Wald Mignon ', 'Rwish'}",2
{'Kurt Rui'},{'Misu Mignonne '},1
{'Geeky Girl'},{' Kerryanne E Wald Mignon '},1
{'Thomas Hodge'},{' Kerryanne E Wald Mignon '},1
{'White Tiger'},"{' Kerryanne E Wald Mignon ', 'YouGottaBeKiddingMe2121'}",2
{'S Williams'},"{' Kerryanne E Wald Mignon ', 'Jo', 'YouGottaBeKiddingMe2121'}",3
{' '},{'M '},1
{'NerdForce'},{' Kerryanne E Wald Mignon '},1
{'morgankingwarlord'},{'Mercurio '},1
{'Kevin'},"{'Humano despu s de todo', 'Flyrius Lopez'}",2
{'Mariah Autumn '},"{' Kerryanne E Wald Mignon ', 'MadMaria Wald mignon', 'SummerB', 'penny'}",4
{'Marina'},"{'Aviana2015', 'Andreea DeppHead of Romania Cacoveanu', 'TheMadRatter Gwennafran '}",3
{'CJ'},{'Libby JusticeForJohnnyDepp'},1
{'Liz '},{'Jacqui'},1
{'Janina IBelieveHim justiceforjohnnydepp'},{'Jacqui'},1
{'C '},"{' Kerryanne E Wald Mignon ', 'Cheryl Drake '}",2
{'Flip Stankovic'},{'JennLKirch'},1
{'Stephen'},"{'ForDaMik JohnnyDeppIsInnocent Justice', ' Kerryanne E Wald Mignon '}",2
{'Muse Ingenue Musey s Modern Dreadfuls on YT'},{'Martina Snape '},1
{'MV'},"{'love ', 'Senku chan'}",2
{'Sara '},"{' Kerryanne E Wald Mignon ', 'vkook aye'}",2
{'yannick gothique'},"{' Kerryanne E Wald Mignon ', 'Annpanwoman BTS HAG', 'katt', 'The Twisted Samurai'}",4
{'Sergio'},"{' Kerryanne E Wald Mignon ', 'Nor33 ', 'Nana La'}",3
{'shane'},"{'TheRealLauraB ', ' Laura'}",2
{'Tannh user'},"{'res ipsa loquitur savvy ', 'Elisa Day', 'z', 'Cherry B ', ' Kerryanne E Wald Mignon '}",5
{'BillieSara'},"{' Kerryanne E Wald Mignon ', 'Louise Hatfield'}",2
{'MissChanandalerBong'},"{' Kerryanne E Wald Mignon ', 'j ', 'Cheryl Drake ', 'The Twisted Samurai'}",4
{'Aliyu Safana'},"{'PATCHEStheRAFguy', 'seedoftruth ', 'Andreea DeppHead of Romania Cacoveanu', ' Kerryanne E Wald Mignon ', 'Murmeltier '}",5
{'Ashley Brooke'},{'Spirit of Dani '},1
{'April Mazzola'},"{' is off ', 'Mrs John Christopher Depp II', 'Hellennehellenne '}",3
{'Ufofaunamania Bolivia'},{'HumanPhoenix'},1
{'Purple Fluff Free '},{' Kerryanne E Wald Mignon '},1
{'Bele vai ver o J o '},{'seedoftruth '},1
{'Douglas R Reynolds'},{'Valeria '},1
{'Awakened mind'},{'Andreea DeppHead of Romania Cacoveanu'},1
{'tetaho '},{' Kerryanne E Wald Mignon '},1
{' '},"{' Kerryanne E Wald Mignon ', 'Teri Carson ', 'Johnny Supporter 1043'}",3
{'Zucchero Kandinsky'},{'Cheryl Drake '},1
{'JustaLupie '},{'Sandra Deanne'},1
{'Samantha '},"{' SEC On A Break', 'CLAUDIA'}",2
{'Aamina'},{'Lady Stardust '},1
{''},"{'colleen', 'Suellen S DEPPHEAD', 'seedoftruth '}",3
{'Daria'},{'Life s a bitch Now so am I '},1
{'Ladybirdlacquerandloops'},"{'Andreea DeppHead of Romania Cacoveanu', 'Jacqui'}",2
{' Jen a Depp warrior '},{'SummerB'},1
{' Isaacdamus '},{'Lady Stardust '},1
{'Anna Garcia'},{'C URTNEY '},1
{'space chikun'},{'Eskarina'},1
{'abbieee'},"{'inchhighpi', 'Aishacat '}",2
{'TinaFarrar'},"{'P Y T ', 'Lady Stardust '}",2
{'Barbie K'},{' Kerryanne E Wald Mignon '},1
{'Gustavo Huerta'},"{'Francisco Castellano', 'Cr quet '}",2
{'Ms Blue'},{'Kris '},1
{' osDon'},{'Andreea DeppHead of Romania Cacoveanu'},1
{'austin morrison'},{' Kerryanne E Wald Mignon '},1
{'Jason Byrne'},{'sheila'},1
{'Teresa'},{'sheila'},1
{'lejla'},{' Kerryanne E Wald Mignon '},1
{'Juanma'},"{'Meepsia Magpie', 'Lisa Salustri', 'Andreea DeppHead of Romania Cacoveanu'}",3
{'Zhora G '},"{'SummerB', 'ML4a', 'Chacun fait c qui lui pla t '}",3
{'nicolly'},{'Jeon Ji hye'},1
{'FG D Tobito'},{'Mael'},1
{'Nico Alegria'},{' Kerryanne E Wald Mignon '},1
{'Nuclear Nadal'},{' SEC On A Break'},1
{'VICKY TOMOE '},"{'margo ', 'YouGottaBeKiddingMe2121', 'seedoftruth ', 'Mellie ', 'Julie JusticeForJohnnyDepp ', 'laura ', 'Pam Love '}",7
{'Gavin Cox'},{'HoneyHani'},1
{'Krakoa Magneto'},"{'Aviana2015', 'danijela', 'Dee'}",3
{'An Obsolete Vernacular'},{'Chacun fait c qui lui pla t '},1
{'Meggi love is love '},{' Kerryanne E Wald Mignon '},1
{'elizabeth'},{' Kerryanne E Wald Mignon '},1
{'Roxie'},"{' Kerryanne E Wald Mignon ', 'TerryEllahElsa'}",2
{'Allen 90 '},{'Cheryl '},1
{'jess'},{'Juliette '},1
{'Jess'},{'Kelly Smahlt'},1
{'Phil J ull'},{' Kerryanne E Wald Mignon '},1
{'Lisa'},{'Lilith Rising'},1
{'Ahmed'},{' Kerryanne E Wald Mignon '},1
{'Sina Sparrow UK '},{' Kerryanne E Wald Mignon '},1
{'Bee'},{' Kerryanne E Wald Mignon '},1
{'hailey '},"{'SummerB', 'YouGottaBeKiddingMe2121', 'Sweetest Sands ustice or ohnny epp ', 'deanna pronounced DEENA', 'Pussygalore', ' Kerryanne E Wald Mignon '}",6
{'Clarissa'},"{'jean Baptiste', 'Raven JusticeForJohnnyDepp'}",2
{'Karen Fouracre'},{'MadMaria Wald mignon'},1
{'AJ'},{'justice for johnny depp'},1
{'Ashley S rensen'},{' Kerryanne E Wald Mignon '},1
{'RT a mi tweet fijado'},{'Liono Grinch'},1
{'eeeesa'},"{'Strawberry Fields ', 'Horae of Peace', 'TheMadRatter Gwennafran ', 'powpowpunch'}",4
{'Lou '},{'VashtiV mainlines avocados sings like a cat'},1
{'breezy'},{'Linda Lou '},1
{'Pablo Vassallo'},"{'Cheryl Drake ', 'Kelly Smahlt', 'Joanna Woodley'}",3
{'Darth Khaleesi '},{'C URTNEY '},1
{'frank drebin'},{'Rwish'},1
{'sage war'},{' '},1
{'back4now'},"{'ThatPandaCat', 'JohnnyDeppDeservesBetter', 'YouGottaBeKiddingMe2121', 'teytanus', 'Vive Harris', 'Bazarette74', 'Pamela McCafferty', 'Anna Giulia Depp Waldman', 'Larsa Wy'}",9
{'Nyayalonda'},{'Linda Lou '},1
{'Jacq '},{'Cheryl Drake '},1
