__label__1 , How pathetic! This truly shows how big of a low life you really are! 
__label__1 , "IMAGINE YOU PASSED THE LAST 4 YEARS TELLING TO EVERYONE YOU GAVE $7M TO CHARITY IN ORDER TO HELP SICK CHILDREN ....
__label__1 , IMAGINE YOU WERE LYING AND KEPT THE MONEY. AMBER HEARD DID IT "
__label__1 , "Remember this image of joyous Amber Heard thinking she’d won? In the writing world, we call this a false ending.;) At least i hope and pray it was. "
__label__1 , As a member of the human community we do not claim amber heard 
__label__1 , Whatcha thinking about @NormanGoldenII? Amber Heard hasn't donated a dime like she claimed. You have staunchly defended her for years & believed her on her word alone. She lied to you & all of her followers. 
__label__1 , "Amber Heard hasn't given any money to charity.  Elon Musk anonymously paid ""on her behalf"".  She has been lying to the media for four years and even lied under oath in the UK.  "
__label__1 , EXCLUSIVE: Johnny Depp accuses Amber Heard of pocketing $7M settlement
__label__1 , EXCLUSIVE: Johnny Depp has accused Amber Heard of pocketing $7M divorce settlement and repeatedly 'lying' about giving it all to charity
__label__1 , "Amber Heard ‘celebrating her divorce’ in London, August 2016.
__label__1 , 7 million reasons to celebrate, huh Amber?"
__label__1 , "As always, everyone is to blame, except Amber :) will she ever learn to take responsibility for HER OWN actions? She stole money from sick children and then lied under oath. Depp doesn't need to smear her name, she handles it herself"
__label__1 , "My heart just breaks for this man. You can hear the hurt, the betrayal, and the realization that he truly is the victim of a malicious and narcissistic abuser. "
__label__1 , Amber Heard's attorney has released a statement in response to Johnny Depp's legal team's claim that the actress didn't donate the $7 million she received as part of their divorce settlement. 
__label__1 ,  
__label__1 , Read the comments if you wanna know how persistently women will throw another woman under the bus for a dude they fancy.
__label__1 , "Elaine the Pain admitting to the press that her client, Amber Heard, lied under oath about donating her $7 million divorce settlement."
__label__1 , She kept the money that SHE pledged to suck kids! Unforgivable 
__label__1 , "So in a nutshell...Only Johnny Depp has donated in her name to  CHLA .. Both Johnny Depp & Elon have donated to ACLU... Amber heard has donated a big fat ZERO! She has used 2 men financially to gain millions for herself.. But it was never about the money! "
__label__1 , "Amber Heard falsely promised to donate $7m from settlement, says Johnny Depp"
__label__1 , She did indeed. And lied to sick children and ppl all over the world. 
__label__1 , Would you look at that... AH trending for being a liar!! Bet her parents are so proud!! Hey ambie....I got all day.... all day 
__label__1 , Amber Heard is STILL yet to give the bulk of her £5million divorce settlement to charity
__label__1 , The letter in late June 2019 from the CHLA to Amber Heard stating they have received no more from her pledge of 3.5 million since Johnny Depp paid the initial 100k in 2016 before Amber threw her fit demanding she receive the money. Wow! 
__label__1 , """I wanted nothing"" Said Amber Heard as she kept everything."
__label__1 , "Amber Heard pooped in Johnny Depp's bed, blamed her two tiny dogs before admitting she did it as a ""harmless prank"". "
__label__1 , Took a sec but Depp finally got out of his drunken stupor long enough to slander Amber like three weeks after that article destroyed him and he lost his defamation lawsuit. Lol.
__label__1 , "Amber Heard's stylist said she faked injuries for police report, a crime punishable by 3 years in prison."
__label__1 , "Reminder to AH stans. AH once claimed JD threw a chair at her while on a plane; you know, those things that are bolted to the ground. Think about the absurdity of that for a minute ."
__label__1 , Victims of abuse wouldn't have to lie about more incidents if they were truly abused. Goes to prove it was all a hoax.
__label__1 , It's here: Johnny DEPP v Amber HEARD: The Legal Consequences of The Charity Donatio... 
__label__1 , "Liars! They are not ashamed to lie at all! Every time one of their lies is exposed, they find an excuse and tell a new lie !!"
__label__1 , Amber Heard Responds to Claim She Failed to Donate $7 Million Johnny Depp Divorce Settlement
__label__1 , "Amber admitted on tape that Johnny would never stick around for a fight and that she hit him. 
__label__1 , She lied about the abuse and she lied about the donations. 
__label__1 , Liars and hoaxers always try to divert.
__label__1 , Whitneys back again. Maybe they keep going on and off because adam has no chill and is about to post all their lies online? Or maybe more people have come up to speak the truth? 
__label__1 , Mainstream media will have to explain why they let Amber Heard abuse Johnny Depp and ruin his reputation while there are public proofs she ´s guilty of domestic violence and multiple perjuries. She did not donate. 
__label__1 , "She lied about DV, she lied about her assistant to Homeland security, she lied about her dogs, she lied about not having a car... the list goes on and is rather morally disgusting.
__label__1 , She is a serial liar and an abuser."
__label__1 , "- Amber Heard in 2018: ""7 mn dollars was donated, I  split it between CHLA and ACLU"". She claimed it was already donated, she didn't say she will donated eventually. She was caught lying through her teeth again. "
__label__1 , "Just donated $7 which is about £5 for anyone else in the UK, if you can afford to please consider it "
__label__1 , "Amber is not a child or a teenager that made a mistake and we should cuddle her. She is a grown woman that lied about being abused, smuggling dogs, donating money to sick children and more. She abused people and stole a r*pe story. Held her accountable for once "
__label__1 , The audacity of this woman to make posts like these after withholding millions from sick children and publicly lying about it.
__label__1 , I don't like liars.  
__label__1 , "Johnny nation, how does it feel to stand by the right side of the roaring rapids? Fantastic, right? "
__label__1 , "Everything that comes out of her mouth is a goddamn lie! The true challenge is trying to discern when her or one of her minions accidentally speaks the truth! I mean, how rare is that? Once every other month?"
__label__1 , "Ms Heard sworn statement to UK High Court: Johnny Depp prevented me from having a car for 3 1/2 years to control me. Back in reality: > $65,000 of Range Rover rentals for Ms Heard from 2013-16 paid by Mooh (Mr Depp) and a new $100,000+ Range Rover acquired January 2015 for Heard"
__label__1 , All I want is for Johnny to get his role back for Fantastic Beasts!! 
__label__1 , PROOF AMBER HEARD DID NOT DONATE MONEY TO CHARITY 
__label__1 , "Amber Heard told Johnny that ""nobody would believe and old white man"" after she beat him and mocked him."
__label__1 , "This makes me so sad , seeing his courage to speak up on what he went through takesa a lot of strength and I'm so proud he has the strength to do so , I will admire this man till the end "
__label__1 , Johnny DEPP v Amber HEARD: The Legal Consequences of The Charity Donatio... 
__label__1 , SHE ALWAYS FUMBLES.
__label__1 , When hoaxers can't keep their stories straight....
__label__1 , "She risks her health, wanted to move on----true story??? What did she do right after the NGN trial? And didn't she force her way into the courtroom... "
__label__1 , She watched an episode of Grey's Anatomy?
__label__1 , "Amber Heard lied when she said she donated her divorce settlement to children’s hospitals. She used sick kids as a prop
__label__1 , How she still has a career is beyond me. y’all wanna cancel someone? cancel her"
__label__1 , She’s been caught out on her multiple lies. Stop covering up for her bitch ass 
__label__1 , It looks like the only money Amber Heard ever gave the Children's Hospital Los Angeles was that first check from Johnny Depp -- less than 3% of what she pledged!
__label__1 , "Gina Deuters posted such a touching message regarding smear campaign that’s going against an innocent man that is Johnny Depp. Please, take a minute to read it. "
__label__1 , "can we all agree to boycott Aquaman 2 if Amber Heard is in it?
__label__1 , she abused Johnny Depp, falsely accused him, and lied about donating $7 million to sick children yet Warner Bros fired him instead of her. she’s despicable"
__label__1 , "Imagine supporting a famous manipulative liar who is also the world's most boring woman without talent, creative abilities and uniqueness. Do they still think she's going to be kveen in Hollywood or something? Maybe believes people will forget what she did?The people will not."
__label__1 , "Amber Heard's lawyer has responded to the claim that she pocketed her divorce money from Johnny Depp, which she promised to donate to charity"
__label__1 , "She lied about DV, she lied about her assistant to Homeland security, she lied about her dogs, she lied about not having a car... the list goes on and is rather morally disgusting.
__label__1 , She is a serial liar and an abuser."
__label__1 , Oh donating money? Like u did in amber's name? So she could still play the víctim? Dude u are clowning yourself 
__label__1 , """The real hero is always a hero by mistake."" ~ Umberto Eco"
__label__1 , "Amber Heard lied to another court and didn’t donate $7 million. Media: doesn’t matter, she said she needed the money. Judge Nichol: well as long as she REALLY did need it, she’s credible. "
__label__1 , "Honestly, why the fuck would anyone believe anything the sun says? They literally posted an article in the newspaper about how Liverpool fans were robbing corpses. They don't give a shit about who they are hurting"
__label__1 , Amber Heard Responds to Claim She Failed to Donate $7 Million Johnny Depp Divorce Settlement
__label__1 , whilst she laughs with her freeloading enablers behind his back, about the KNIVES she could use to ‘threaten his life’."
__label__1 , "Amber Heard’s lawyer Mr Rottenborn spinning the court that her $7 million charitable donation lies are “no longer grounds for appeal in the UK” despite her lying under oath about it, The Sun’s barrister misleading the court about it, and Justice Nichols relying on those lies."
__label__1 , "Oh Congrats!!! You made "" Wall of Ambie's Bots"". What an honor "
__label__1 , "I don't agree with cancel culture whatsoever, but I think I can make an exception for Amber Heard..."
__label__1 , Amber heard is a LIAR. not only was she abusive to Depp and trying to extort 100MIL in lawsuit money but also lied about giving 7mil of her divorce money to charity. MEN CAN BE VICTIMS OF ABUSE. BELIEVE JOHNNY DEPP.
__label__1 , "Can we say Elaine is the best lawyer in the world? She just admitted to the media that her client lied not just to the world, but in court too! Good job Elaine "
__label__1 , Absolutly true! Also if your friends cant stand up to your lies & abuse....They are also NOT your friends!! 
__label__1 , Y'all seriously calling Johnny the abuser? He fucking flinched. Does it look like he would do that?
__label__1 , It looks like the only money Amber Heard ever gave the Children's Hospital Los Angeles was that first check from Johnny Depp -- less than 3% of what she pledged!
__label__1 , "Amber Heard lied about donating to children with cancer. 
__label__1 , If she lied about that... nothing is off limits. 
__label__1 , other girls standing up for Amber Heard when it clearly shows she's an abusive lying bitch has a screw loose 
__label__1 , "Ms Heard sworn statement to UK High Court: Johnny Depp prevented me from having a car for 3 1/2 years to control me. Back in reality: > $65,000 of Range Rover rentals for Ms Heard from 2013-16 paid by Mooh (Mr Depp) and a new $100,000+ Range Rover acquired January 2015 for Heard"
__label__1 , "Oh my God ! I see that this is trending again !!! Yes, Amber Heard is a liar. She lied about donating money to the children's hospital for four years !!! One more thing , do not forget that she is also an abuser !!!!"
__label__1 , Nobody believes you 
__label__1 , so unfair
__label__1 , "Not only woman are victims, but men can be as well. People who think that men are not real men for dealing with abuse is ignorant. We need to stand together and stop violence against men. "
__label__1 , Why is anyone still defending Amber Heard a proven liar 
__label__1 , When is AH going to get a perjury charge?! She has lied about the donations. She has lied about the abuse. She has lied under oath in court. She has changed her story.        
__label__1 , "She had all the money by Feb 2018. She wrote the op ed in Dec 2018. Johnny filed against her in March 2019. I call bullshit."
__label__1 , "The Johnny Depp Amber Heard Controversy Explained in Under 20 Minutes 
__label__1 , I wanted to quickly make a basic video for friends who have no clue about about any of this."
__label__1 , "If she really were the victim and had planned to donate the money but couldn't because of her abusers ""relentlessness"" with legal proceedings would she really be partying like this after being exposed? I'd be hiding under my sheets."
__label__1 , There is a shit ton of evidence everywhere against amber heard and I still dont understand why she isn't locked up.
__label__1 , Amber Heard's attorney has released a statement in response to Johnny Depp's legal team's claim that the actress didn't donate the $7 million she received as part of their divorce settlement. 
__label__1 , I have no mercy, no fear and not an ounce of emotion, or what I once thought was love for this gold digging, low level, dime a dozen, mushy, pointless dangling overused flappy fish market... I'm so fucking happy she wants to go to fight this out!!! She will hit the wall hard!
__label__1 , Hypocrisy at its best.
__label__1 , It all just gets worse and worse. Piles up more and more... her 
__label__1 , It's everybody's fault except AH.
__label__1 , "AH thinks she's ""good at getting people to believe in the villainous woman character"".....lol"
__label__1 , "She's in damage control mode cuz Elaine exposed Amber's big fat LIE about the donations!!
__label__1 , Heard is a liar and an abuser! Her own words! Continually beating and then demeaning Depp! And now proof she never donated that money to those sick kids! She is a liar and has perjured herself. Do your research! 
__label__1 , "Nice profile on Amber Heard’s barrister Jennifer Robinson of Doughty Street Chambers in FT today claiming she “cannot talk about Heard’s case for legal reasons.”
__label__1 , "No one is crying over this violent, serial abusive, lying , cardboard , sub par actress. 
__label__1 , PR machine at work since it was revealed she didn’t donate the $7million as she proclaimed to have done. "
__label__1 , The Walt Disney Company: We want JOHNNY DEPP back as CAPTAIN JACK SPARROW - Sign the Petition! 
__label__1 , "Oh yeah, because her handwritten 'diary' is a VERY credible evidence...
__label__1 , I am convinced that different people awaken different beasts in you.
__label__1 , God turn it off
__label__1 , Shameful that the allegation of ‘planting a story’ is somehow more newsworthy than actually lying under oath about donating money to terminally ill children.
__label__1 , Oh please!! Toronto tapes! We need them! Probably it's going to be really hard to listen to them but they will definitely be the last nail in her coffin.
__label__1 , "Amber Heard told Johnny that ""nobody would believe and old white man"" after she beat him and mocked him."
__label__1 , Mr Romero should resign. He has been part of Amber Heard’s hoax and lie to the world for four long years. Enough! 
__label__1 , Scamber cannot stop the justice wheel anymore, as she exposed herself as true warrior of untruth and fake declarations. She has so many years to live in shame , sign! "
__label__1 , "Amber Heard got the divorce settlement in subsequent payments with the final $2.3 million being in Feb 2018.
__label__1 , So for nearly a year she had the full amount and she did not donate it. So her lawyer saying that she needed it for legal fees is bs"
__label__1 , "100% she’s fraud, manipulator, liar, abuser... she’s a horrible human being.. who has done nothing but destroy reputations and lives, deny sick dying children, break the law, she’s the worse thing to happen to the "
__label__1 , Johnny Depp makes ‘desperate attempt’ to smear Amber Heard after ‘planting’ story
__label__1 , Heard had over a year before any case was filed! She did not donate! Kept money for sick kids! Do your research! And her own words of continually abusing Depp! 
__label__1 , Johnny Depp spoke up about being abused and got punished for it!!! It will never be ok 
__label__1 , I feel very honored to be blocked by Robbie Kaplan herself! Proves she has problem with rational contradiction ! 
__label__1 , "The people are not fooled by their desperate PR attempts, we stand with Johnny "
__label__1 , Hate is such a strong word....but it's Amber Heard so keep going....
__label__1 , Lol also January 2018 when she reconciled with Musk and broke up a month later.
__label__1 , "Johnny Depp Making “Desperate Attempt” To Malign Amber Heard, ‘Aquaman’ Star’s Lawyer Says; Admits Promised $7M Charitable Donations “Delayed”"
__label__1 , "Dude, Amber Heard thinks I'm a bot created by Johnny Depp "
__label__1 , "There may be times when we are powerless to prevent injustice, but there must never be a time when we fail to protest."
__label__1 , "Well then why didn't Amber leave him, she knew she was violent but stayed with Johnny to ruin him."
__label__1 , AH is pure evil! This right here is an example of her special brand of crazy. “I don’t want to leave” “I can’t lose him” yet in court claimed to be held hostage.. 
__label__1 , "Just found this from 2 years ago. Now this I enjoyed reading! How accurate... Not sure if you've had the pleasure of reading this before but enjoy... "
__label__1 , "How can you accurately represent both side when you have already made up your mind which side you stand on? I'd suggest doing some thorough research before writing anything. There's plenty of evidence available. Btw, the better hashtag to use would be "
__label__1 , "She keeps saying that Johnny was the drinker and drug user, I think She should take a good hard look in the mirror."
__label__1 , "A real domestic violence victim, would never complaint about the abuser ""splitting"". She's a total liar, I wonder why did she never asked JD ""what about all the other times you hit me?"".. because that NEVER happened. "
__label__1 , Seeing the proof that Amber Heard didn't donate her divorce settlement 
__label__1 , Amber Heard is STILL yet to give the bulk of her £5million divorce settlement to charity
__label__1 , EXCLUSIVE: Johnny Depp has accused Amber Heard of pocketing $7M divorce settlement and repeatedly 'lying' about giving it all to charity
__label__1 , The ACLU is refusing to cooperate, but the Children’s Hospital has confirmed that to date they’ve received just $100,000 and have contacted Heard to find out what’s going on.
__label__1 , I made my brother hate Amber Heard and I'm proud of it
__label__1 , "You know, the millions she got years before the lawsuit. But hey, she must have had a crystal ball to save them just for that. 
__label__1 , Amber Heard’s ten years worth of “ romantic “ partners stopping to pick up subpoenas - first group (last names A through Franco only)
__label__1 , Did you know about amber Heard NOT donating to the charity and LYING about it?!  
__label__1 , Fuck Amber Heard 
__label__1 , Dear Amber Heard I hope you enjoy jail.
__label__1 , "She intended eventually? Bitch she said in her sworn statement in the UK that she donated ALL OF THE MONEY. She said it 1000000 times on tv,interviews,statements to the press. Your client, Amber Heard withheld money from SICK CHILDREN for PUBLICITY. "
__label__1 , Amber didn't think it would go this far. She thought all her lies would work and Johnny would cave in to her demands. She didn't expect him to fight back now all her lies are out for everyone to see and there's nowhere for her to go. 
__label__1 , Even plastic surgery and botox can’t help you Amber !! Your still disgusting to look at 
__label__1 , So you surport a domestic abuser 
__label__1 , Amber Heard stole money from sick children and lied about donating her $7 million divorce settlement. 
__label__1 , "Amber Heard: ‘I’m good at getting people to believe in the villainous woman character’  
__label__1 , Amber heard kept money from sick children. She lied and manipulated the entire world. Hold her accountable 
__label__1 , "Amber ""Abuser"" Heard trending for being the total pos human she is? I'm shocked. WB, and any other studios that feel like making some money this year, grow a pair and remove that woman from all of your projects.  "
__label__1 , "If you're defending AH, you won't be able to accurately represent both sides because her statements, evidence, testimony are full of lies. The stereotype here is that people don't believe men can be victims of physical abuse by a woman."
__label__1 , "Amber Turd...your mask has slipped, dropped to the floor and has been stomped all over by us "
__label__1 , Are you really going to cover for a woman who lied about donating money to SICK CHILDREN? 
__label__1 , """The lie is easier than the truth.  However, it only takes one truth to bring down a pyramid of lies.""
__label__1 , "FINALLY he gets a hearing for crucial documents revealing she lied several times, under oath!"
__label__1 , I feel like if people still stand by her now then they still won't believe the truth if she hit them in the face with it.
__label__1 , if your friends can’t stand up against antisemitic hate they are not your friends.
__label__1 , "for years we have seen & heard her lie.
__label__1 , By now, that woman has zero credibility."
__label__1 , "Feminism. The fight for equality. The goal is not achieved through psychological or emotional abuse, by beating men nor shitting in their beds. "
__label__1 , "Dark Triad, when all three personality traits: Narcissism, Machiavellianism and Psychopathy appear in one person. To destroy the happiness of another. Most often one with beauty or they enhance their beauty. Hmm"
__label__1 , "I think what is more relevant is the ridiculous weight of her brain (without any trace of intelligence, humility and empathy) . It must be about 0,01 pound. "
__label__1 , Did you know about amber Heard NOT donating to the charity which she has lied for so long?! Did you get your cut from that money that was supposed to goto sick children?! 
__label__1 , Does this sound like AH saying she GOING to donate? No i didnt think so either. Lets have her donate 7mil of HER OWN money whilst paying back space nickels and JDs money
__label__1 , "You can do better than that. Try this.. Amber Heard has lied since she was born. After telling the whole world she had donated.....guess what....Yeah, she lied. IT WAS ALWAYS ABOUT THE MONEY!!  "
__label__1 , so are you going to fire Ezra Miller for choking a female fan? No you won't because you are hypocrites who have some kind of vendetta against Johnny Depp. 
__label__1 , Let's add another name to the list of Satan's Sidekicks.
